Subject,Exercise,View,best_shift,best_shift_unique_value,best_shift_median
1,Front lunge,Frontal,"[49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 51.0, 49.0, 48.0, 48.0, 48.0, 49.0, 49.0]","{48.0: 3, 49.0: 12, 51.0: 1}",49.0
1,Front lunge,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Jumping jacks,Frontal,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 11.0, 8.0, 9.0, 8.0, 8.0, 9.0, 9.0]","{8.0: 3, 9.0: 12, 11.0: 1}",9.0
1,Jumping jacks,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Lateral arm raise,Frontal,"[4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0]","{3.0: 5, 4.0: 10, 6.0: 1}",4.0
1,Lateral arm raise,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Leg extension crunch,Frontal,"[-2.0, -2.0, -3.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -3.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 4, -2.0: 11}",-2.0
1,Leg extension crunch,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Reverse fly,Frontal,"[21.0, 21.0, 20.0, 20.0, 21.0, 21.0, 21.0, 21.0, 21.0, 22.0, 21.0, 20.0, 20.0, 20.0, 21.0, 21.0]","{20.0: 5, 21.0: 10, 22.0: 1}",21.0
1,Reverse fly,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Side squat,Frontal,"[1.0, 1.0, 4.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","{0.0: 2, 1.0: 10, 3.0: 3, 4.0: 1}",1.0
1,Side squat,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Single leg deadlift,Frontal,"[33.0, 33.0, 33.0, 33.0, 33.0, 34.0, 34.0, 33.0, 33.0, 36.0, 33.0, 33.0, 34.0, 32.0, 33.0, 33.0]","{32.0: 1, 33.0: 11, 34.0: 3, 36.0: 1}",33.0
1,Single leg deadlift,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Squat,Frontal,"[16.0, 16.0, 18.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 18.0, 17.0, 16.0, 12.0, 16.0, 16.0, 16.0]","{16.0: 9, 17.0: 4, 18.0: 2, 12.0: 1}",16.0
1,Squat,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
2,Front lunge,Frontal,"[-28.0, -29.0, -28.0, -28.0, -28.0, -29.0, -29.0, -28.0, -28.0, 59.0, -29.0, -29.0, -29.0, -30.0, -28.0, -29.0]","{59.0: 1, -30.0: 1, -29.0: 7, -28.0: 7}",-28.5
2,Front lunge,Side,"[-20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -18.0, -21.0, -21.0, -22.0, -21.0, -20.0, -20.0]","{-22.0: 1, -21.0: 5, -20.0: 9, -18.0: 1}",-20.0
2,Jumping jacks,Frontal,"[8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0]","{8.0: 13, 9.0: 1, 10.0: 1, 7.0: 1}",8.0
2,Jumping jacks,Side,"[8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0]","{8.0: 13, 9.0: 1, 10.0: 1, 7.0: 1}",8.0
2,Lateral arm raise,Frontal,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0]","{1.0: 1, -1.0: 14, -2.0: 1}",-1.0
2,Lateral arm raise,Side,"[-3.0, -3.0, -4.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -1.0, -4.0, -4.0, -3.0, -4.0, -3.0, -3.0]","{-4.0: 4, -3.0: 11, -1.0: 1}",-3.0
2,Leg extension crunch,Frontal,"[-32.0, -32.0, -32.0, -32.0, -32.0, -31.0, -32.0, -32.0, -32.0, -30.0, -32.0, -32.0, -32.0, -33.0, -32.0, -32.0]","{-32.0: 13, -31.0: 1, -30.0: 1, -33.0: 1}",-32.0
2,Leg extension crunch,Side,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, 40.0, 40.0, 11.0, -22.0, -22.0, -21.0, -22.0, -21.0, -21.0]","{40.0: 2, -22.0: 3, 11.0: 1, -21.0: 9, -20.0: 1}",-21.0
2,Reverse fly,Frontal,"[-9.0, -9.0, -9.0, -9.0, -9.0, -8.0, -9.0, -9.0, -9.0, nan, -9.0, -9.0, -9.0, -10.0, -9.0, -9.0]","{-8.0: 1, nan: 1, -10.0: 1, -9.0: 13}",-9.0
2,Reverse fly,Side,"[-11.0, -12.0, -11.0, -11.0, -11.0, -11.0, -11.0, 51.0, 51.0, -11.0, -12.0, -11.0, -11.0, -12.0, -11.0, -11.0]","{51.0: 2, -12.0: 3, -11.0: 11}",-11.0
2,Side squat,Frontal,"[-2.0, -2.0, -1.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -1.0, 52.0, -4.0, -3.0, -2.0, -2.0]","{0.0: 1, 52.0: 1, -1.0: 2, -4.0: 1, -3.0: 1, -2.0: 10}",-2.0
2,Side squat,Side,"[-2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 2, -2.0: 13}",-2.0
